Node	Nx  	Ny  	Nz  	dx  		dy  		dz  		tsteps  	Time				Method	VM/Node(GB) 	RM/Node(GB) 

 1		0256	0064	0064	1.20e-08	8.13e-09	8.13e-09	1000001		6:59:53.161989		  PSTD		08.915			00.659
 1		0256	0008	0008	1.20e-08	7.31e-08	7.31e-08	200001		0:21:26.969073		  FDTD		06.701			00.321
 1		0256	0008	0008	1.20e-08	7.31e-08	7.31e-08	100001		0:18:52.636256		  PSTD		06.927			00.516
 1		0512	0008	0008	6.01e-09	7.31e-08	7.31e-08	100001		0:10:27.253833		  FDTD		06.699			00.321
 1		0256	0008	0008	1.20e-08	7.31e-08	7.31e-08	010001		0:04:33.395520		  SHPF		06.927			00.517
 1		0256	0008	0008	1.20e-08	7.31e-08	7.31e-08	010001		0:01:31.752591		  SHPF		06.916			00.506
 1		0256	0008	0008	1.20e-08	7.31e-08	7.31e-08	010001		0:03:39.698690		  SHPF		06.928			00.517
 1		0512	0008	0008	6.01e-09	7.31e-08	7.31e-08	020001		0:03:38.750982		  SHPF		06.909			00.499
 1		0512	0008	0008	6.01e-09	7.31e-08	7.31e-08	020001		0:04:05.761152		  PSTD		06.940			00.499
 1		1024	0008	0008	3.00e-09	7.31e-08	7.31e-08	100001		0:13:38.607848		  FDTD		06.734			00.324
 1		1024	0008	0008	2.00e-09	7.31e-08	7.31e-08	200000		0:25:34.143773		  FDTD		06.746			00.334
 1		1024	0008	0008	1.50e-09	7.31e-08	7.31e-08	200000		0:20:51.457299		  FDTD		06.745			00.334
 1		2048	0004	0004	5.00e-10	1.71e-07	1.71e-07	200000		0:20:57.112158		  FDTD		06.714			00.334
